prediction_month,records,default_rate,avg_score,roc_auc,score_psi_vs_baseline,performance_status,stability_status
2023-01,530,0.2641509433962264,0.4330974667878793,0.8375091575091576,0.0,ok,ok
2023-02,501,0.3073852295409182,0.4467013684689232,0.8002732138178824,0.02998862139491658,ok,ok
2023-03,506,0.3201581027667984,0.4548711295689592,0.8191035027275336,0.032288900130410324,ok,ok
2023-04,510,0.26862745098039215,0.45191390481634625,0.8238586329034656,0.032239182883849145,ok,ok
2023-05,521,0.2667946257197697,0.4453968171670389,0.8392218162642662,0.038933286121210914,ok,ok
2023-06,517,0.26499032882011603,0.4287764479488927,0.8286976565501344,0.020736075445677158,ok,ok
2023-07,471,0.29723991507430997,0.46559973455740844,0.8076823478636169,0.04822815250115215,ok,ok
2023-08,481,0.288981288981289,0.4519622833067747,0.8364255963650132,0.05132932460024008,ok,ok
2023-09,454,0.2621145374449339,0.4449748168269066,0.8096074250595761,0.025644333020929583,ok,ok
2023-10,487,0.25667351129363447,0.44082511572783667,0.8419668508287294,0.0388712415105966,ok,ok
2023-11,491,0.29124236252545826,0.4391475932726571,0.8229643919299092,0.01297583697379651,ok,ok
2023-12,489,0.30879345603271985,0.45205120864517895,0.7910380500803323,0.018269370318027577,ok,ok
2024-01,485,0.29690721649484536,0.44878998023264527,0.831439393939394,0.04079542146924808,ok,ok
2024-02,518,0.28378378378378377,0.47029354800444223,0.7962300823294276,0.04491482671929378,ok,ok
2024-03,511,0.3287671232876712,0.4599955255871618,0.8009162848812994,0.029352432050158368,ok,ok
2024-04,513,0.27680311890838205,0.4443053885999337,0.7918264302797919,0.019559237946717326,ok,ok
2024-05,491,0.3034623217922607,0.4537945965784752,0.825974331802661,0.03281425592610685,ok,ok
2024-06,498,0.3112449799196787,0.4540911564897958,0.8445217718423776,0.026036649653886055,ok,ok
2024-07,505,0.3069306930693069,0.4643419168775178,0.7687373271889402,0.10481214661243443,ok,ok
2024-08,543,0.3001841620626151,0.4649718781867737,0.7663061026800129,0.11495702591449285,ok,ok
2024-09,493,0.3306288032454361,0.4631358506454992,0.7905186837702175,0.09019076992691386,ok,ok
2024-10,456,0.24561403508771928,0.4427940275917035,0.7759032392026577,0.08694692482949441,ok,ok
2024-11,488,0.2807377049180328,0.46052306081775307,0.7824152057728699,0.07196115008322289,ok,ok
2024-12,515,0.27184466019417475,0.42816973720531154,0.8039999999999999,0.016830753660535012,ok,ok
2025-01,526,0.26806083650190116,0.45542136369304886,0.7543520309477755,0.044113319783533264,ok,ok
